,Age,Name,Yomi,StateData,RecommendData,Kubun,VotesCount,BtnParty,CountData,PositionData,CareerData,Bg1,Bg2,Bg3,Bg4,Bg5,Bg6,Bg7,Bg8,Bg9,Bg10,Bg11,Bg12,Bg13,Bg14,Bg15
16,55,勝部　賢志,かつべ　けんじ,新,,北海道５区,94975,民主党,0,党道幹事長,党道幹事長［歴］小学校教諭▽北教組石狩支部書記長▽道議▽北海道教育大,2. 反対,2. 反対,1. 評価する,1. 導入すべきだ,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
17,54,鈴木　龍次,すずき　りゅうじ,新,,北海道５区,31523,共産党,0,党道委員,党道委員・地区委員長［歴］道勤医協職員▽民青同盟道常任委員▽札幌清田高,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,非該当,2. 引き受けたくない,2. 必要でない,非該当,2. 反対
18,65,佐々木隆博,ささき　たかひろ,元,,北海道６区,104595,民主党,3,［元］副農相,［元］副農相▽党道副代表［歴］道議▽党税制調査副会長・国対副委員長▽士別高,2. 反対,2. 反対,1. 評価する,1. 導入すべきだ,2. 評価しない,2. 負担増は耐えられないので給付水準が下がるのはやむをえない,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
19,68,今津　　寛,いまず　ひろし,前,［公］,北海道６区,101748,自民党,7,党安保調会長,党安保調査会長［歴］道議▽防衛庁副長官▽党道会長・党政調副会長▽中大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,非該当,1. 必要だ,1. 問題ない,1. 見直すべきだ,非該当,1. 賛成,1. 引き受けてもいい,1. 必要だ,1. 賛成,1. 賛成
20,65,荻生　和敏,おぎう　かずとし,新,,北海道６区,24656,共産党,0,党道委員,党道委員・６区国政相談室長［歴］党旭川地区委員長▽宇都宮大,2. 反対,2. 反対,2. 評価しない,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,無回答,2. 引き受けたくない,2. 必要でない,無回答,2. 反対
21,66,伊東　良孝,いとう　よしたか,前,［公］,北海道７区,72281,自民党,3,党道会長,［元］財務政務官▽党国対副委員長・道会長［歴］道議▽釧路市長▽北海道教育大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,1. 国民の負担を増やしても給付を維持すべきだ,1. 必要だ,1. 問題ない,1. 見直すべきだ,1. 見直すべきだ,1. 賛成,2. 引き受けたくない,1. 必要だ,1. 賛成,1. 賛成
22,28,鈴木　貴子,すずき　たかこ,前,,北海道７区,72056,民主党,2,大地代表代理,新党大地代表代理［歴］ＮＨＫ長野放送局ディレクター▽カナダ・トレント大,2. 反対,2. 反対,2. 評価しない,1. 導入すべきだ,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,1. 引き受けてもいい,2. 必要でない,2. 反対,1. 賛成
23,63,石川　明美,いしかわ　あけみ,新,,北海道７区,13218,共産党,0,［元］釧路市議,［元］釧路市議▽党地区政策委員長［歴］民青同盟地区委員長▽埼玉・川越工高,2. 反対,2. 反対,2. 評価しない,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,無回答,2. 必要でない,2. 反対,2. 反対
24,55,逢坂　誠二,おおさか　せいじ,元,,北海道８区,97745,民主党,3,［元］首相補佐官,［元］首相補佐官▽党道副代表［歴］ニセコ町長▽総務政務官▽北大,2. 反対,2. 反対,非該当,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,非該当,非該当,2. 必要でない,2. 反対,2. 反対
25,48,前田　一男,まえだ　かずお,前,［公］,北海道８区,91351,自民党,2,［元］松前町長,［元］松前町長▽党国土交通副部会長［歴］伊藤忠商事社員▽道職員▽北大,非該当,非該当,1. 評価する,1. 導入すべきだ,1. 評価する,1. 国民の負担を増やしても給付を維持すべきだ,非該当,無回答,1. 見直すべきだ,1. 見直すべきだ,無回答,非該当,1. 必要だ,1. 賛成,非該当
26,66,原田　有康,はらだ　ゆうこう,新,,北海道８区,17465,共産党,0,［元］戸井町議,［元］戸井町議▽党地区委員長［歴］尻岸内小教諭▽学習塾経営▽北海道教育大,2. 反対,2. 反対,2. 評価しない,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
27,42,堀井　　学,ほりい　まなぶ,前,［公］,北海道９区,97805,自民党,2,［元］道議,［元］道議▽党青年局次長［歴］スピードスケート五輪選手▽専大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,無回答,1. 必要だ,1. 問題ない,1. 見直すべきだ,1. 見直すべきだ,無回答,1. 引き受けてもいい,1. 必要だ,1. 賛成,1. 賛成
28,35,山岡　達丸,やまおか　たつまる,元,,北海道９区,86252,民主党,1,［元］ＮＨＫ記者,［元］ＮＨＫ札幌放送局記者［歴］党青年局道ブロック長▽慶大,2. 反対,2. 反対,2. 評価しない,1. 導入すべきだ,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
29,60,工藤　良一,くどう　りょういち,新,,北海道９区,29841,共産党,0,党９区役員,党９区くらし・雇用対策委員長［歴］苫小牧地区労連議長▽神奈川大,2. 反対,2. 反対,2. 評価しない,1. 導入すべきだ,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
30,56,稲津　　久,いなつ　ひさし,前,［自］,北海道１０区,86722,公明党,3,［元］農水政務官,［元］農水政務官▽党道代表［歴］特養ホーム職員▽医療法人理事▽道議▽専大,2. 反対,無回答,1. 評価する,1. 導入すべきだ,1. 評価する,1. 国民の負担を増やしても給付を維持すべきだ,1. 必要だ,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,無回答,1. 必要だ,1. 賛成,2. 反対
31,46,神谷　　裕,かみや　ひろし,新,,北海道１０区,71219,民主党,0,［元］参議員秘書,［元］参院議員秘書［歴］日本かつお・まぐろ漁協職員▽国務大臣秘書官▽帝京大,2. 反対,2. 反対,非該当,2. 導入すべきでない,2. 評価しない,非該当,非該当,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,非該当,2. 反対,2. 反対
32,63,木村　賢治,きむら　けんじ,新,,北海道１０区,20803,共産党,0,［元］夕張高教頭,党１０区政策委員長［歴］道高教組書記次長▽夕張高教頭▽法大,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,非該当,2. 引き受けたくない,2. 必要でない,非該当,2. 反対
33,55,中川　郁子,なかがわ　ゆうこ,前,［公］［改］,北海道１１区,87118,自民党,2,農水政務官,農水政務官［歴］三菱商事社員▽環境ＮＰＯ代表▽党女性局次長▽聖心女大,1. 賛成,1. 賛成,1. 評価する,非該当,1. 評価する,非該当,1. 必要だ,1. 問題ない,非該当,非該当,1. 賛成,1. 引き受けてもいい,1. 必要だ,1. 賛成,1. 賛成
34,68,三津　丈夫,みつ　たけお,新,,北海道１１区,61405,民主党,0,［元］道副議長,［元］道副議長▽党帯広支部代表［歴］帯広市職員▽党道副代表▽帯広三条高,2. 反対,2. 反対,無回答,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,無回答,無回答,2. 必要でない,2. 反対,2. 反対
35,63,畑中　庸助,はたなか　ようすけ,新,,北海道１１区,18303,共産党,0,党地区委員,党十勝地区政策委員長［歴］帯広市民生協経営管理部長▽釧路湖陵高,2. 反対,2. 反対,2. 評価しない,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,無回答,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
36,44,武部　　新,たけべ　あらた,前,［公］,北海道１２区,92357,自民党,2,党国際局次長,党国際局次長［歴］日本興業銀行員▽衆院議員秘書▽米シカゴ大院,1. 賛成,1. 賛成,1. 評価する,非該当,1. 評価する,非該当,1. 必要だ,1. 問題ない,1. 見直すべきだ,1. 見直すべきだ,1. 賛成,非該当,1. 必要だ,1. 賛成,1. 賛成
37,32,水上　美華,みずかみ　みか,新,,北海道１２区,62035,民主党,0,［元］北見市議,［元］北見市議［歴］パチンコ店運営会社役員▽衆院議員秘書▽北見北斗高,2. 反対,2. 反対,2. 評価しない,2. 導入すべきでない,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,2. 反対,2. 引き受けたくない,1. 必要だ,2. 反対,2. 反対
38,41,菅原　　誠,すがわら　まこと,新,,北海道１２区,18451,共産党,0,党地区副委長,党北見地区副委員長［歴］民青同盟道副委員長▽京セラ社員▽北見工大院,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,非該当,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
39,48,津島　　淳,つしま　じゅん,前,［公］,青森１区,66041,自民党,2,党厚労副会長,党厚労副部会長・国対委員［歴］関電工社員▽衆院議員秘書▽学習院大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,非該当,1. 国民の負担を増やしても給付を維持すべきだ,1. 必要だ,1. 問題ない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,1. 引き受けてもいい,1. 必要だ,1. 賛成,1. 賛成
40,57,升田世喜男,ますた　せきお,新,,青森１区,62254,維新の党,1,［元］県議,［元］県議▽党県代表代行［歴］小泊村議▽自民党県政調副会長▽拓大中退,2. 反対,1. 賛成,1. 評価する,1. 導入すべきだ,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,1. 必要だ,1. 問題ない,2. 見直すべきでない,1. 見直すべきだ,1. 賛成,1. 引き受けてもいい,1. 必要だ,1. 賛成,1. 賛成
41,40,吉俣　　洋,よしまた　よう,新,,青森１区,18274,共産党,0,党地区委員長,党東青地区委員長・県常任委員・准中央委員［歴］民青同盟県委長▽八戸工大,2. 反対,2. 反対,無回答,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,無回答,2. 必要でない,2. 反対,2. 反対
42,59,江渡　聡徳,えと　あきのり,前,［公］,青森２区,81054,自民党,6,防衛相,防衛相［歴］短大非常勤講師▽社会福祉法人理事長▽内閣政務官▽日大院,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,1. 国民の負担を増やしても給付を維持すべきだ,1. 必要だ,無回答,2. 見直すべきでない,1. 見直すべきだ,無回答,1. 引き受けてもいい,1. 必要だ,1. 賛成,1. 賛成
43,44,中野渡詔子,なかのわたり　のりこ,元,,青森２区,28282,維新の党,1,［元］会社役員,［元］会社役員［歴］民主党県副代表▽国民の生活が第一広報副委員長▽筑波大院,2. 反対,2. 反対,1. 評価する,無回答,2. 評価しない,無回答,無回答,無回答,無回答,無回答,1. 賛成,無回答,2. 必要でない,2. 反対,1. 賛成
44,65,小笠原良子,おがさわら　りょうこ,新,,青森２区,10775,共産党,0,党地区委員,党上十三地区委員▽新日本婦人の会県委員［歴］埼玉・与野高,2. 反対,2. 反対,2. 評価しない,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
45,68,大島　理森,おおしま　ただもり,前,［公］,青森３区,59280,自民党,11,［元］党副総裁,［元］党副総裁［歴］毎日新聞社員▽県議▽官房副長官▽環境庁長官▽農相▽慶大,非該当,1. 賛成,1. 評価する,非該当,1. 評価する,1. 国民の負担を増やしても給付を維持すべきだ,1. 必要だ,1. 問題ない,2. 見直すべきでない,2. 見直すべきでない,非該当,非該当,1. 必要だ,1. 賛成,1. 賛成
46,45,田名部匡代,たなぶ　まさよ,元,,青森３区,49142,民主党,3,［元］農水政務官,［元］農水政務官［歴］会社員▽参院議員秘書▽玉川学園女短大,2. 反対,2. 反対,2. 評価しない,2. 導入すべきでない,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,非該当,非該当,非該当,1. 見直すべきだ,1. 賛成,1. 引き受けてもいい,非該当,非該当,2. 反対
47,65,松橋　三夫,まつはし　みつお,新,,青森３区,7311,共産党,0,党地区委員長,党三八地区委員長・県委員［歴］会社員▽党中央委勤務員▽八戸高,2. 反対,2. 反対,2. 評価しない,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,無回答,2. 必要でない,2. 反対,2. 反対
48,49,木村　太郎,きむら　たろう,前,［公］,青森４区,79156,自民党,7,首相補佐官,首相補佐官［歴］外相秘書▽県議▽防衛・農水政務官▽防衛庁副長官▽東洋大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,非該当,1. 必要だ,1. 問題ない,2. 見直すべきでない,1. 見直すべきだ,2. 反対,非該当,1. 必要だ,非該当,非該当
49,59,山内　　崇,やまうち　たかし,新,,青森４区,38106,民主党,0,党県幹事長,党県幹事長［歴］県職員▽県議▽県監査委員▽立教大,2. 反対,2. 反対,2. 評価しない,1. 導入すべきだ,2. 評価しない,2. 負担増は耐えられないので給付水準が下がるのはやむをえない,1. 必要だ,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,1. 引き受けてもいい,2. 必要でない,2. 反対,1. 賛成
50,53,千葉　浩規,ちば　こうき,新,,青森４区,15831,共産党,0,党地区委員長,党津軽地区委員長・県常任委員［歴］病院職員▽弘前大,2. 反対,2. 反対,2. 評価しない,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
51,48,階　　　猛,しな　たけし,前,,岩手１区,76787,民主党,4,党副幹事長,党副幹事長▽弁護士［歴］新生銀行法務部次長▽総務政務官▽東大,2. 反対,2. 反対,2. 評価しない,2. 導入すべきでない,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,2. 反対
52,56,高橋比奈子,たかはし　ひなこ,前,［公］,岩手１区,46409,自民党,2,環境政務官,環境政務官［歴］テレビ岩手アナウンサー▽県議▽党女性局次長▽日大,2. 反対,非該当,1. 評価する,1. 導入すべきだ,1. 評価する,1. 国民の負担を増やしても給付を維持すべきだ,非該当,1. 問題ない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,1. 必要だ,1. 賛成,非該当
53,33,吉田　恭子,よしだ　きょうこ,新,,岩手１区,15374,共産党,0,党県常任委員,党県常任委員［歴］党県青年雇用相談室長▽和光大,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,2. 反対
54,65,細川　光正,ほそかわ　みつまさ,新,,岩手１区,9052,社民党,0,党県幹事長,党県幹事長▽社会福祉法人理事長［歴］盛岡市議▽盛岡三高,2. 反対,2. 反対,2. 評価しない,1. 導入すべきだ,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,2. 反対
55,61,鈴木　俊一,すずき　しゅんいち,前,［公］［改］,岩手２区,73661,自民党,8,［元］環境相,［元］環境相▽党県会長［歴］衆院議員秘書▽党水産部会長▽副外相▽早大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,1. 国民の負担を増やしても給付を維持すべきだ,1. 必要だ,1. 問題ない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,1. 引き受けてもいい,1. 必要だ,1. 賛成,1. 賛成
56,51,畑　　浩治,はた　こうじ,前,,岩手２区,62009,生活の党,2,党政審会長,党政審会長［歴］ドイツ大使館１等書記官▽国交省情報企画課長補佐▽早大,2. 反対,2. 反対,2. 評価しない,1. 導入すべきだ,2. 評価しない,無回答,2. 必要でない,無回答,2. 見直すべきでない,2. 見直すべきでない,無回答,無回答,2. 必要でない,無回答,1. 賛成
57,56,久保　幸男,くぼ　さちお,新,,岩手２区,11289,共産党,0,党地区委員長,党地区委員長［歴］九戸村農協職員▽全国農協労働組合連合会職員▽伊保内高,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,2. 反対
58,61,黄川田　徹,きかわだ　とおる,前,,岩手３区,80339,民主党,6,［元］副復興相,［元］副復興相▽党県代表［歴］陸前高田市職員▽県議▽副総務相▽早大,2. 反対,2. 反対,1. 評価する,1. 導入すべきだ,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,2. 反対,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
59,47,橋本　英教,はしもと　ひでのり,前,［公］,岩手３区,46165,自民党,2,党県会長代理,党県会長代理［歴］電源開発社員▽衆院議員秘書▽党青年局次長▽慶大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,1. 国民の負担を増やしても給付を維持すべきだ,1. 必要だ,1. 問題ない,2. 見直すべきでない,2. 見直すべきでない,2. 反対,2. 引き受けたくない,1. 必要だ,1. 賛成,1. 賛成
60,55,菊池　幸夫,きくち　ゆきお,新,,岩手３区,15328,共産党,0,党県常任委員,党県常任委員［歴］民青同盟県副委員長▽東北大中退,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
61,72,小沢　一郎,おざわ　いちろう,前,,岩手４区,75293,生活の党,16,党代表,党代表［歴］自治相▽国家公安委員長▽自民党幹事長▽民主党代表▽慶大,2. 反対,2. 反対,2. 評価しない,無回答,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,1. 賛成
62,31,藤原　　崇,ふじわら　たかし,前,［公］,岩手４区,57824,自民党,2,弁護士,弁護士▽党青年局次長［歴］参院議員公設第１秘書▽明治学院大法科大学院,非該当,1. 賛成,1. 評価する,1. 導入すべきだ,非該当,1. 国民の負担を増やしても給付を維持すべきだ,非該当,1. 問題ない,非該当,非該当,2. 反対,1. 引き受けてもいい,1. 必要だ,1. 賛成,1. 賛成
63,67,高橋　綱記,たかはし　こうき,新,,岩手４区,24421,共産党,0,党地区委員,党地区委員・４区国政対策委員長［歴］花巻市議▽岩手大,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,2. 反対
64,56,土井　　亨,どい　とおる,前,［公］,宮城１区,93345,自民党,3,［元］国交政務官,［元］国交政務官▽党国対副委員長［歴］県議▽党県会長▽東北学院大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,非該当,非該当,1. 問題ない,1. 見直すべきだ,1. 見直すべきだ,非該当,非該当,1. 必要だ,1. 賛成,1. 賛成
